state_code,labels,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,funding_velocity,funding_per_round,milestone_rate,regulatory_risk_flag,churn_risk_flag
CA,0,5.4904,5.4904,0.0,0.0,1,1,3170000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,0,31700000.0,3170000.0,10.0,0,1
CA,0,-1.0,3.3151,3.6959,5.663,4,2,2300000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2.0,0,520939.5030690132,1150000.0,1.4513085965845869,0,0
CO,0,0.2521,0.337,0.0,0.0,5,2,455000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.5,1,2460789.616008653,227500.0,0.0,0,0
IL,1,4.8411,4.8411,1.0,1.0,3,1,13000000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,1,130000000.0,13000000.0,10.0,0,0
CA,1,4.0603,4.0603,3.0027,3.0027,7,1,15000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,150000000.0,15000000.0,10.0,0,0
CA,1,4.0685,4.0685,3.4192,5.2301,2,1,3800000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,38000000.0,3800000.0,1.5699408655607303,0,0
TX,1,2.5068,4.5315,4.9315,5.6767,37,5,299500000,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1.75,1,140961076.85790932,59900000.0,2.366303833412209,0,1
CA,1,1.189,1.189,2.189,7.7753,5,1,1000000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,1,10000000.0,1000000.0,0.5275838418655365,0,0
CA,0,1.3534,2.1644,4.5178,4.5178,3,2,10500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.0,1,11525795.828759603,5250000.0,10.0,0,0
WA,1,4.1534,5.1671,3.0,3.0,6,2,8600000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.5,1,7722007.722007727,4300000.0,10.0,0,0
NC,0,-0.1671,2.0192,0.0,0.0,9,2,5000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,2186939.596728338,2500000.0,0.0,0,0
CA,1,0.0,0.8685,0.4137,2.1671,3,2,2304999,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,1,2379967.991739804,1152499.5,1.0790978741771877,0,0
PA,0,0.0822,0.0822,0.0,0.0,2,1,25000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,250000.0,25000.0,0.0,0,0
NY,0,2.6575,2.6575,0.0,0.0,1,1,4000000,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1,40000000.0,4000000.0,10.0,0,0
CA,0,0.6192,1.5945,1.0,4.3315,8,2,14600000,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,13577606.249418765,7300000.0,0.8742532420224391,0,0
CA,0,1.063,5.7014,0.0,0.0,0,3,44000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4.5,1,9285834.88097248,14666666.666666666,0.0,0,0
CA,1,0.1671,2.6493,0.6082,4.7507,10,3,1822922,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2.3333,1,705956.9359460924,607640.6666666666,0.7071302298173248,0,1
NY,1,0.0,5.9041,3.8411,7.137,18,7,29915001,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,2.75,1,4982428.840292468,4273571.571428572,1.4723637327365353,0,0
GA,1,0.0,4.8027,3.7205,7.6164,26,4,33000000,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3.0,1,6730984.967466907,8250000.0,1.2512825646287444,0,0
NH,1,0.0,0.5836,0.5836,0.5945,9,2,125000,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,182855.4710356934,62500.0,18.03426510369702,0,0
CA,0,0.1041,2.3863,2.3315,2.7918,7,2,4000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,1,1679120.1410460917,2000000.0,3.569516330537214,0,0
WA,1,3.4904,3.4904,5.6603,8.3425,10,1,10000000,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,1,100000000.0,10000000.0,1.0782833728703907,0,0
CA,1,4.6658,4.6658,8.7425,10.2247,25,1,6000000,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.0,1,60000000.0,6000000.0,2.528125395019592,0,0
CA,1,2.6247,2.6247,0.0,0.0,4,1,25000000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0,1,250000000.0,25000000.0,0.0,0,0
NY,1,0.926,2.9534,0.8329,2.7425,2,3,3750000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2.0,1,1762715.0512362511,1250000.0,1.4928343949044585,0,0
MA,1,0.2466,0.2466,1.1178,1.663,9,1,3000000,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,30000000.0,3000000.0,3.0998140111593298,0,0
CA,1,0.189,1.189,1.3562,1.6575,6,2,1155000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.5,1,1050000.0,577500.0,4.9838026414154015,0,0
CA,1,3.2082,3.2082,5.2548,7.8822,11,1,10000000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1,100000000.0,10000000.0,0.7332991127080737,0,0
CA,1,2.5836,2.5836,2.0,2.0,5,1,3000000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,30000000.0,3000000.0,10.0,0,1
MA,1,1.8932,2.4466,2.0,3.2767,4,2,11500000,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,17600244.872972142,5750000.0,2.1791239921551537,0,0
TX,1,0.7479,0.7479,4.0493,8.3233,12,1,5000000,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,50000000.0,5000000.0,1.1431184270690444,0,1
MA,1,5.1863,6.8137,7.3342,7.3342,9,2,29000000,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5.0,1,16788236.656246383,14500000.0,10.0,0,0
CA,1,0.6712,6.2329,4.0493,7.5973,37,6,34700000,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,5.0,1,6128901.213416466,5783333.333333333,1.0964912280701753,0,0
CA,0,1.1863,3.4986,0.0,0.0,0,2,12050000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,4995232.765410603,6025000.0,0.0,0,0
CA,1,2.1644,4.7616,4.0027,6.7534,13,3,12000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.0,1,4449058.282663504,4000000.0,0.7015820675623531,0,0
CA,1,4.1041,4.1041,1.9151,1.9151,18,1,5500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2.0,1,55000000.0,5500000.0,10.0,0,0
CA,1,1.989,4.1534,2.8986,5.2575,10,3,24000000,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.3333,1,10598834.12824589,8000000.0,1.6267436658668508,0,0
MO,1,5.2027,6.189,7.5068,12.8932,6,2,10000000,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,4.5,1,9205560.158335634,5000000.0,0.3645377661125693,0,0
MA,0,2.7836,10.9507,-1.9151,-1.9151,10,3,19009671,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2.0,1,2299436.4408317306,6336557.0,10.0,1,0
CA,0,3.4986,3.4986,3.0,3.0,6,1,5000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,1,50000000.0,5000000.0,10.0,0,0
WA,1,4.0466,9.3041,6.0027,6.0027,2,5,18914576,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3.0,1,3530485.4876341578,3782915.2,10.0,0,0
FL,0,6.3726,6.3726,0.0,0.0,0,1,4000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,0,40000000.0,4000000.0,0.0,0,0
MA,1,1.326,2.7836,1.674,3.1342,5,3,2030882,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,1303853.3641499744,676960.6666666666,1.281886937572106,0,0
CA,1,2.6438,2.6438,0.0,7.3918,4,1,5000000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.0,1,50000000.0,5000000.0,0.26695854133853014,0,0
WA,0,1.0877,1.0877,0.0,0.0,5,1,20500000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,1,205000000.0,20500000.0,0.0,0,0
CO,1,3.9616,6.5205,4.5781,7.6877,4,2,13250000,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2.0,0,4983263.755688442,6625000.0,1.246261216350947,0,0
CA,1,7.2548,7.2548,7.0055,7.0055,7,1,12000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0,1,120000000.0,12000000.0,10.0,0,0
CA,1,1.3342,3.0247,3.0219,3.337,9,3,11489687,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,3.3333,1,6417027.087405751,3829895.6666666665,4.818116116598408,0,0
CA,1,0.6795,0.6795,2.9178,4.2274,15,1,4000000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,1,40000000.0,4000000.0,2.128263337116912,0,1
CA,1,-0.0301,-0.0301,0.137,0.137,3,1,355000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,3550000.0,355000.0,10.0,0,0
FL,1,0.0,0.2466,2.4164,5.3151,10,2,118000,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,1,340450.08655510674,59000.0,1.0004335211925166,0,1
CA,1,1.6685,9.337,7.3808,10.474,17,4,40400000,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1.6667,1,5200489.154920513,10100000.0,0.9394964299135662,0,0
TX,0,1.8055,1.8055,0.0,0.0,1,1,3000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,30000000.0,3000000.0,0.0,0,0
CA,0,2.6986,4.0027,1.0,1.0,2,2,19700000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.0,1,14030339.719393205,9850000.0,10.0,0,0
CA,0,9.1671,9.1973,0.0,0.0,0,2,17800000,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,136712749.61597472,8900000.0,0.0,0,0
CA,1,0.011,2.0986,3.0904,3.7836,12,3,57500000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,4.0,1,26284512.707990494,19166666.666666668,3.7821482602118004,0,0
NY,1,0.6658,3.0384,2.0,5.0548,10,3,17200000,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,2.6667,1,6956240.394726198,5733333.333333333,1.5848865221250157,0,0
MA,0,-0.5836,1.3425,0.0,1.5479,4,7,457282,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1,225695.67148709344,65326.0,1.213665877783846,0,0
CA,1,-0.0219,2.0329,2.3151,3.1644,11,4,18500000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,2.25,1,8585483.571561165,4625000.0,3.16022332244812,0,0
NJ,0,2.0466,2.0466,0.0,0.0,2,1,12000000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6.0,1,120000000.0,12000000.0,0.0,0,0
CO,0,3.5123,3.9562,3.9534,4.8356,5,2,510000000,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.5,1,937672366.2437953,255000000.0,3.054367745876602,0,0
CA,1,3.9342,4.6822,4.0027,4.0027,3,2,18250000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,21521226.415094346,9125000.0,10.0,0,0
NY,1,2.1616,5.6384,3.8329,7.6932,13,4,41500019,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.0,1,11602555.077163946,10375004.75,1.2625306163674468,0,0
WV,0,5.4411,5.4411,0.0,0.0,1,1,1000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0,10000000.0,1000000.0,0.0,0,0
CA,1,1.1288,1.1288,1.0,2.6767,7,1,5000000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,50000000.0,5000000.0,1.1256824449822704,0,1
MI,0,7.8877,10.6658,0.4137,0.4137,2,3,42700000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3.6667,1,14836176.64431395,14233333.333333334,10.0,0,0
CA,0,0.8822,0.8822,0.0,0.0,7,1,12000000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9.0,1,120000000.0,12000000.0,0.0,0,1
WA,1,2.526,3.1041,3.0027,9.126,5,2,22300000,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.5,1,32886005.014009733,11150000.0,0.32137290505037525,0,0
CA,1,4.0027,7.8712,0.1616,0.1616,5,2,10000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,4.0,1,2519843.7696862794,5000000.0,10.0,0,0
DC,0,1.1671,4.6658,0.0,0.0,1,3,15564591,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,3.5,1,4325059.326979187,5188197.0,0.0,0,0
CA,1,2.5726,2.5726,2.4795,4.6685,7,1,500000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,1,5000000.0,500000.0,0.873743993010048,0,1
CA,1,0.1151,1.3397,1.8329,2.6712,24,2,8950000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7.0,1,6756756.756756756,4475000.0,2.131514441010338,0,0
NY,1,1.7479,4.8192,4.0027,4.8192,8,4,55350000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,4.0,1,17453410.27338946,13837500.0,2.182214948172394,0,0
CA,0,3.7233,3.7233,0.0,0.0,1,1,4000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,40000000.0,4000000.0,0.0,0,0
IL,1,1.6986,6.5151,3.2849,4.9315,3,5,10764323,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,1,2189428.0484084208,2152864.6,1.7176228100309172,0,0
NJ,0,1.4082,1.4082,0.0,0.0,1,1,5500000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0,1,55000000.0,5500000.0,10.0,0,0
CA,1,4.2849,4.2849,2.4164,5.5151,7,1,400000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.0,1,4000000.0,400000.0,0.6252540094413355,0,0
CA,0,0.7507,3.0137,0.0,0.0,3,3,54000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2.6667,1,22852306.390181974,18000000.0,0.0,0,0
GA,0,20.8055,20.8055,0.0,0.0,2,1,32000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,1,320000000.0,32000000.0,0.0,0,0
WA,1,5.789,5.789,0.0,0.0,1,1,13000000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,1,130000000.0,13000000.0,0.0,0,0
WA,1,0.0849,1.2712,0.0,0.0,5,3,12500000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2.3333,1,9717795.226618983,4166666.6666666665,0.0,0,0
CA,1,2.3507,8.2822,1.0027,8.2849,16,4,38064570,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,3.0,1,6310962.447152451,9516142.5,0.2709219473869578,0,0
CA,1,-0.4959,1.2548,2.1726,4.6,21,2,6000000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,1,3242016.534284325,3000000.0,0.7913270554720268,0,1
VA,0,2.4658,4.8329,0.5863,5.6164,4,2,5000000,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0,2026670.9902314455,2500000.0,1.1695678446813904,0,1
VA,1,0.0,7.1068,6.0055,10.9041,9,3,59000000,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2.0,1,8186712.549259034,19666666.666666668,0.600168047053175,0,0
IL,0,1.0356,1.0356,0.0,1.0356,2,1,1000000,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0,10000000.0,1000000.0,1.7611835153222963,0,1
CA,1,2.7233,2.7233,0.9151,6.3096,5,1,600000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0,1,6000000.0,600000.0,0.546000546000546,0,1
CT,0,2.8356,3.1397,3.3781,3.7753,0,2,125000000,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2.0,1,309329373.9173472,62500000.0,4.02252614641995,0,0
CA,1,0.7945,2.9014,3.0493,6.5233,11,2,2750000,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.0,1,1246091.8029815576,1375000.0,0.8393956351426973,0,1
CA,1,2.9178,4.7342,0.0,0.0,1,2,30000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2.5,1,15654351.90983093,15000000.0,0.0,0,0
CA,0,4.0137,4.0137,0.0,0.0,0,1,7000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,0,70000000.0,7000000.0,0.0,0,0
CA,1,0.411,0.411,0.0,2.5342,10,1,6100000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4.0,1,61000000.0,6100000.0,0.7592437931819908,0,0
CA,0,0.5315,1.9205,2.2548,2.9781,12,3,2100000,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4.0,1,1410342.5117528539,700000.0,2.4292481476982872,0,0
CA,1,0.1452,0.5014,0.4959,3.011,10,2,2565000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3.5,1,5622533.976326173,1282500.0,1.147183664104623,0,0
CA,0,10.7589,10.7589,0.0,0.0,0,1,2000000,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0,20000000.0,2000000.0,0.0,1,0
NC,1,2.5671,5.6904,2.0027,2.0027,3,3,22400000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,3.6667,1,6949399.68355412,7466666.666666667,10.0,0,0
NY,1,1.0822,1.0822,6.0027,6.0027,12,1,6250000,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0,0,62500000.0,6250000.0,10.0,0,1
NY,1,1.7479,1.7479,1.0,2.1096,4,1,575000,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.0,0,5750000.0,575000.0,1.6534391534391535,0,1
MA,0,0.0,0.5808,0.0,0.0,1,2,53000,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1,77849.58871915394,26500.0,10.0,0,1
CA,1,0.9151,2.7753,3.0027,3.6466,6,2,9500000,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2.5,1,4846444.240383634,4750000.0,2.6885334050275578,0,1
TX,0,-0.7479,0.8192,-1.7507,0.2521,7,2,3500000,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.0,1,2099454.1419230998,1750000.0,0.9511128019783147,0,0
NY,1,0.7726,1.4959,-0.5863,3.7534,14,3,10500000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6.3333,1,12753552.77541601,3500000.0,0.6757213325224677,0,0
CA,1,0.7562,4.4137,2.7836,4.0027,14,4,34250000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,2.25,1,9115103.127079174,8562500.0,1.516185277840952,0,0
MA,1,0.6795,4.5507,0.0,0.0,2,5,85381111,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,4.6667,1,21500078.31385979,17076222.2,0.0,1,0
